CZ,EN,methods [Roman/Adam],locs applicability,times applicability,
"Zopakuj si (nahlas), proč chceš přestat kouřit. Pěkně jeden důvod po druhém. Když důvody trvají, chuť na cigaretu přejde.","Once again, remind yourself aloud why you want to quit smoking. Go one reason at a time. If the reasons are still valid, you won't feel like having a cigarette.",Motivation support,,,
"Zkus ošálit svoje reflexy. Připrav si sklenici oblíbeného nealkoholického nápoje a vypij ho brčkem. Je to trochu jako šlukování, chuť na cigaretu ustoupí.",Try decieving your senses. Prepare yourself a glass of your favourite soft drink and sip it with a straw. It feels a bit like puffing and you won't care for a smoke that much.,Stimulate mouth,,,divný
"Sáhni po nikotinovém spreji nebo žvýkačce. Uvolněný nikotin nechej v ústech působit a pak ho vyplivni. (Nepolykej ho, dráždí žaludek.)","Get a nicotine spray or chewing gum. Let the released nicotine work in your mouth and then spit it out. Don't swallow, it causes stomach irritation.",Nicotine replacement,,,
"Nevíš, co s rukama? Zabav prsty hlavolamem, antistresovým míčkem nebo plastelínou.","Don't know what to do with your hands? Engage your fingers in solving a puzzle, play with an antistress ball or plasticine.",Occupy hands,,,
"Změň činnost. Odejdi z místnosti, otevři okno, zalij kytky, protáhni se. Přinuť mozek, aby se zabýval něčím jiným.","Change what you are doing. Leave the room, open the window, water the plants, get some stretching. Make your brain to focus on something else.",Change of situation,,,
"Naber si do úst ústní vodu a nechej ji tam aspoň 20 vteřin. Šokuj své chuťové buňky, dají chvíli pokoj.",Take a mouthful of mouthwash and leave it there for at least 20 seconds. Give your taste cells a shock and keep them quiet for a while.,Change of taste,,,
"Dej si větší dávku ovoce. Překvap tělo něčím, co by nečekalo.",Have a good portion of fruit. Surprise your body with something unexpected. ,Change of taste,,,
Ulev svému zvyku něco vypouštět. Skoč si pro bublifuk a překonej svůj dětský rekord ve velikosti bubliny. V každém kole máš deset pokusů.,Don't restrain your habit of exhaling. Grab a bubble blower and break your childhood bubble record. You have ten tries each round.,Stimulate mouth,,,
Nafoukni co nejrychleji nafukovací balónek. Potěš se svou kapacitou plic.,Try to inflate a balloon as fast as you can. Cheer yourself up with your lungs capacity.,Stimulate mouth,,,
"Otevři noviny nebo web a mrkni se, co nového v politice. Přiměj se dočíst aspoň jeden článek. Když vydržíš tohle, zvládneš všechno.","Open a newspaper or check the web for some politics news. Make sure you can finish at least one article. If you endured this, you can mange anything.",Distract mind,,,
Jóga potlačuje stres a zahání negativní myšlenky všeho druhu. Zkus lotosový květ nebo přihlášku do nejbližšího kurzu. Hned teď!,Yoga suppresses stress and drives away all kinds of negativity. Try blossoming lotus pose or enrol in closest course right now!,Physical activity,,,
"Jestlipak si pamatuješ nějakou školní básničku? Zapni mozek a odveď jeho pozornost ke klasikům. Takže, jak to bylo, pohádko…?","I wonder if you remember some primary school poem. Switch your brain on and let it concentrate on the classics. So, once upon a time...",Distract mind,,,
"Hraje hudba? Tak proč netancuješ? Nikdo se nedívá, a jestli ano, tak ať něco vidí!","Is the music on? Why are you not dancing? Nobody's watching, and if they are, leave them gobsmacked.",Distract mind,,,
Jedna cigareta hoří šest až sedm minut. To je skvělý čas na dvě-tři stránky rozečtené knihy.,A cigarette burns for six or seven minutes. That's enough time for two or three pages of the book you're reading. ,Distract mind,,,
Co nového na YouTube? Běž se podívat. Chvilka u videa zdraví nepokazí.,Anything new on YouTube? Have a look. Watching a video for a few minutes won't hurt you.,Distract mind,,,
"Je po ruce někdo blízký? Pevně a dlouze ho obejmi. Zaplaví tě endorfiny, hormony štěstí. A vědomí, že na to nejsi sám.",Are you hanging out with someone you are close with? Give them a firm hug. You'll be filled with endorphines and you'll feel you're not alone in this.,Share emotions,,,
"Nedá pokoj, mozek jeden? Pozlob ho křížovkou nebo sudoku.",Won't your brain be quiet? Tease it with a crossword or a sudoku.,Distract mind,,,
"Zabav hlavu i ruce, vezmi pastelky, vymaluj antistresovou omalovánku nebo probuď fantazii a nakresli, co první tě napadne.","Occupy your mind and hands. Take crayons, colour anti-stress colouring book or get your imagination working and draw the first thing you can come up with.",Distract mind,,,
"Že bys měl na stole absolutní pořádek? Přiveď ho k dokonalosti, zaměstnej mysl a zbav ji nepříjemných podprahových podnětů.",What about having your desk completely tidy? Engage your mind organising your workplace perfectly and get rid of unpleasant subliminal stimuli.,Change of situation,,,
"Zvedni se a vyraz do parku nebo do lesa. Dívej se a poslouchej, co všechno se tu děje. Ptáci (telefony) zpívají, listí (větve) šumí, potok (kašna) bublá. Dolce vita!","Set off for a stroll in a park or a forest. Watch and listen! The birds (phones) are singing, the leaves (branches) are whispering, the stream (fontain) is gurgling. Dolce vita!",Relaxation,,,
Dej si rychlou studenou sprchu. Šok! Na kouření pěknou chvíli nepomyslíš.,Shock your body with a quick cold shower. You won't think of smoking for a while.,Distract mind,,,
"Jak se daří ledničce? Nemusíš ji vyluxovat. Raději si sepiš, co je třeba nakoupit. Nekouřit a ještě hladovět, to je k nepřežití!","How's your fridge doing? You don't have to eat it empty, rather put down everything you need to buy. You can't go without nicotine _and_ food!",Distract mind,,,
Co to kouká z prádelního koše? Šup s prádlem do pračky! Umíš ji i zapnout?,"Something is peeking out from the laundry basket. Fill the washing machine, chop-chop! Can you turn it on?",Change of situation,,,
"Dřez nám hlásí haldu špinavého nádobí. Dej ho do myčky anebo ho ručně umyj. Mysli na to, jak jsi pilný, úžasný. Zvládneš všechno, na co pomyslíš!",The sink is full of dirty dishes. Put it into the dishwasher or do the dishes. Just think of how hardworking and fantastic you are! You can manage anything you can think of!,Change of situation,,,
